,freq,solvent,status
0,817885,O,1
1,562813,ClCCl,4
2,388339,CO,2
3,333097,Cl,
4,275207,CCO,1
5,232237,CCN(CC)CC,5
6,174651,CCN(C(C)C)C(C)C,
7,174298,[Pd],
8,152036,Cc1ccccc1,3
9,143587,CC#N,3
10,129538,CC(=O)O,2
11,92898,CCOCC,6
12,59913,[H][H],
13,57207,ClC(Cl)Cl,6
14,40675,CCCCCC,5
15,38982,ClCCCl,6
16,34355,COCCOC,5
17,29416,N,
18,23202,c1ccccc1,6
19,21133,CC(=O)N(C)C,5
20,12672,ClC(Cl)(Cl)Cl,6
21,12006,CCCCO,1
22,11708,Br,
23,11495,OO,
24,10251,N#N,
25,8339,Cc1ccccc1C,
26,8041,COC(C)(C)C,4
27,6986,CC(Cl)Cl,
28,6769,CCCCCCC,3
29,5821,O=C=O,
30,5592,C1CCCCC1,4
31,4562,CS(=O)(=O)O,
32,3660,OCCO,2
33,3294,CC(=O)Cl,
34,3081,CCCCC,5
35,3043,COc1ccccc1,1
36,2834,Clc1ccccc1,3
37,2763,CCCO,
38,2691,Clc1ccccc1Cl,
39,2690,COCCO,5
40,2653,CN,
41,2236,CCNCC,
42,1857,CC1CCCO1,3
43,1761,F,
44,1686,COCCOCCOC,
45,1504,CNC,
46,1499,NCCN,
47,1418,Oc1ccccc1,
48,1115,S=C=S,
49,1076,OCc1ccccc1,2
50,1065,CCOC(OCC)OCC,
51,994,O=S1(=O)CCCC1,1
52,932,NC=O,
53,924,BrCCBr,
54,817,OCCOCCO,
55,771,OCC(F)(F)F,
56,768,CCC#N,
57,727,CCS,
58,565,CCc1ccccc1,
59,553,CCC(=O)O,
60,543,NCCO,
61,542,CN1CCCC1,
62,522,N#Cc1ccccc1,
63,457,CCCCCO,
64,439,COC(=O)OC,
65,399,COC,
66,382,CCCC(C)C,
67,364,CCCC#N,
68,331,OC(C(F)(F)F)C(F)(F)F,
69,304,COC1CCCC1,
70,301,O=C1CCCCC1,
71,282,CCCCOCCCC,
72,281,Brc1ccccc1,
73,222,BrCBr,
74,173,CCCCCCCCCCCC,
75,155,CC1CCCCC1,3
76,149,[Ar],
77,136,CCCCCCCC,
78,135,CCCCCCO,
79,134,CCC(=O)CC,
80,132,CCOC(=O)OCC,
81,121,Fc1ccccc1,
82,101,CCCCCCCCCC,
83,100,CCC(=O)OC(=O)CC,
84,80,CC(Cl)(Cl)Cl,
85,67,ClC=C(Cl)Cl,
86,66,COCCOCCOCCOC,
87,60,CCOCCOCC,
88,54,CCCCCCCCCCCCCCCC,
89,48,ClCC(Cl)Cl,
90,42,FC(Cl)(Cl)Cl,
91,30,ClC=CCl,
92,26,CCCCCCCCC,
93,24,CCC(C)C,
94,12,C1CCCC1,
95,2,FC(Cl)Cl,
97,0,O=S(=O)(O)F,
98,0,Reaxys Name poly(ethylene glycol)-400,
99,0,C1CCOC1.O,
100,0,O=S(=O)(O)O,
101,0,C1COCCO1,5
102,0,[H]C([H])([H])C#N,
103,0,O=[N+]([O-])c1ccccc1,
104,0,[H]C([H])([H])N(C=O)C([H])([H])[H],5
105,0,COC(C)=O,2
106,0,c1ccc(-c2ccccc2)cc1,
107,0,CCOC,
108,0,CN1CCN(C)C1=O,3
109,0,CN(C)C=O,
110,0,CCCCOC(C)=O,1
111,0,Reaxys ID 1702935,
112,0,Reaxys Name acetate buffer,
113,0,CC(=O)OC(C)=O,2
114,0,O=CO,4
115,0,[H]C(=O)N(C([H])([H])[H])C([H])([H])[H],5
116,0,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,
117,0,[H]c1c([H])c([H])c([H])c([H])c1[H],
118,0,CN1CCCC1=O,5
